process,RegSymLink,RegTarget,cc
C:\windows\system32\svchost.exe,HKU\S-1-5-80-3880006512-4290199581-1648723128-3569869737-3631323133\Software\Classes\SymbolicLinkValue,\Registry\User\S-1-5-80-3880006512-4290199581-1648723128-3569869737-3631323133_Classes,1
C:\windows\system32\svchost.exe,HKU\S-1-5-80-1985561900-798682989-2213159822-1904180398-3434236965\Software\Classes\SymbolicLinkValue,\Registry\User\S-1-5-80-1985561900-798682989-2213159822-1904180398-3434236965_Classes,1
C:\windows\system32\svchost.exe,HKU\S-1-5-21-1586556212-2165235939-1437495523-1001\Software\Classes\SymbolicLinkValue,\Registry\User\S-1-5-21-1586556212-2165235939-1437495523-1001_Classes,1
C:\windows\system32\csrss.exe,HKLM\System\CurrentControlSet\Control\Video\{E2CD57F4-3753-11EA-8173-806E6F6E6963}\0002\SymbolicLinkValue,\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000,1
C:\windows\system32\csrss.exe,HKLM\System\CurrentControlSet\Control\Video\{E2CD57F4-3753-11EA-8173-806E6F6E6963}\0001\SymbolicLinkValue,\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000,1
C:\windows\system32\csrss.exe,HKLM\System\CurrentControlSet\Control\Video\{E2CD57F4-3753-11EA-8173-806E6F6E6963}\0000\SymbolicLinkValue,\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Class\{4d36e968-e325-11ce-bfc1-08002be10318}\0000,1
C:\windows\System32\spoolsv.exe,HKLM\System\CurrentControlSet\Control\Print\Printers\SymbolicLinkValue,\Registry\Machine\Software\Microsoft\Windows NT\CurrentVersion\Print\Printers,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\RegisteredApplications\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\RegisteredApplications,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Policies\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Policies,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\XAML\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\XAML,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Telephony\Locations\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Telephony\Locations,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Setup\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Setup,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\PreviewHandlers\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\PreviewHandlers,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Policies\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Parental Controls\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Parental Controls,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Group Policy\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Group Policy,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\KindMap\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\KindMap,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\DriveIcons,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers,1
C:\windows\System32\smss.exe,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Control Panel\ThemeVolatile\SymbolicLinkValue,\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Control Panel\ThemeVolatile,1
